timeElapsed,r,phi,speed,position,zone,air,lick,reward,lap_counter,movement,current_World,stage
0,88.30382,63.87128,1,-30,6,1,0,0,0,0,1,3
0.053732,88.78582,60.43652,53,-30,6,1,0,0,0,5.32252088539207,1,3
0.065381,89.24216,1.064075,43,-30,1,1,0,0,0,92.4767108731174,1,3
0.0910531,89.49766,-3.098571,1,-29.2548470760451,1,1,0,0,0,0,1,3
0.108237,89.47393,-3.052984,1,-16.3081075538087,1,1,0,0,0,0,1,3
0.1228149,89.48126,-3.027192,2,-16.3081075538087,1,1,0,0,0,0,1,3
0.1378134,89.51842,-3.13466,1,-16.3081075538087,1,1,0,0,0,0,1,3
0.1552579,89.58912,-3.143816,1,-16.3081075538087,1,1,0,0,0,0,1,3
0.1717833,89.59844,-3.298167,5,-16.3081075538087,1,1,0,0,0,0,1,3
0.18553,89.61538,-3.312604,6,-16.3081075538087,1,1,0,0,0,0,1,3
0.2009881,89.62476,-3.30386,6,-16.3081075538087,1,1,0,0,0,0,1,3
0.2164506,89.63773,-3.346848,4,-16.3081075538087,1,1,0,0,0,0,1,3
0.231676,89.63366,-3.37499,1,-16.3081075538087,1,1,0,0,0,0,1,3
0.2481879,89.6283,-3.448966,0,-16.3081075538087,1,1,0,0,0,0,1,3
0.2640253,89.63539,-3.476515,1,-16.3081075538087,1,1,0,0,0,0,1,3
0.2798194,89.64427,-3.493018,3,-16.3081075538087,1,1,0,0,0,0,1,3
0.2973206,89.61146,-3.55255,4,-16.3081075538087,1,1,0,0,0,0,1,3
0.3123495,89.60229,-3.597779,5,-16.3081075538087,1,1,0,0,0,0,1,3
0.3273227,89.59065,-3.637296,4,-16.3081075538087,1,1,0,0,0,0,1,3
0.3423862,89.56274,-3.81782,3,-16.3081075538087,1,1,0,0,0,0,1,3
0.3578603,89.55783,-3.887029,3,-16.3081075538087,1,1,0,0,0,0,1,3
0.3739449,89.53238,-4.14262,5,-16.3081075538087,1,1,0,0,0,0,1,3
0.3901374,89.53451,-4.457293,9,-16.3081075538087,1,1,0,0,0,0,1,3
0.4059898,89.52765,-4.563213,11,-16.3081075538087,1,1,0,0,0,0.165505535810623,1,3
0.4209439,89.48023,-4.850988,16,-16.3081075538087,1,1,0,0,0,0.449425305093728,1,3
0.4370627,89.506,-4.910871,18,-16.2849367787952,1,1,0,0,0,0.0935476896125689,1,3
0.4528742,89.50571,-5.130564,21,-16.2220172360821,1,1,0,0,0,0.343197668556724,1,3
0.4693377,89.49586,-5.17112,20,-16.2089205595363,1,1,0,0,0,0.063348367523847,1,3
0.4862474,89.50412,-5.188417,19,-16.1608728859384,1,1,0,0,0,0.0270203630493677,1,3
0.5021493,89.50338,-5.249821,16,-16.152004114485,1,1,0,0,0,0.0959209490162376,1,3
0.5161918,89.53484,-5.217283,14,-16.1482212636581,1,1,0,0,0,-0.0508464087351283,1,3
0.534854,89.56839,-5.352159,8,-16.1347923307958,1,1,0,0,0,0,1,3
0.5501845,89.55301,-5.367906,6,-16.1419108280188,1,1,0,0,0,0,1,3
0.5650297,89.56795,-5.551991,4,-16.1419108280188,1,1,0,0,0,0,1,3
0.5799902,89.54277,-5.676312,4,-16.1419108280188,1,1,0,0,0,0,1,3
0.5978625,89.53025,-5.775787,6,-16.1419108280188,1,1,0,0,0,0,1,3
0.6100851,89.49298,-6.006152,9,-16.1419108280188,1,1,0,0,0,0,1,3
0.6258054,89.44641,-6.270822,10,-16.1419108280188,1,1,0,0,0,0,1,3
0.641206,89.40495,-6.729917,12,-16.1419108280188,1,1,0,0,0,0.716376771012919,1,3
0.6564641,89.38428,-6.926076,14,-16.1419108280188,1,1,0,0,0,0.306017845110503,1,3
0.6739814,89.37498,-7.378349,20,-16.0416180800769,1,1,0,0,0,0.705495076130529,1,3
0.6889916,89.32715,-7.661012,25,-15.9987755817615,1,1,0,0,0,0.440686563914971,1,3
0.7048422,89.22376,-8.209361,33,-15.9000062711032,1,1,0,0,0,0.853915593574719,1,3
0.72136,89.14255,-8.725704,35,-15.8383101521551,1,1,0,0,0,0.803342446613201,1,3
0.7368106,89.10517,-8.940421,37,-15.7187619690546,1,1,0,0,0,0.33392328282263,1,3
0.7522014,89.0252,-9.42497,40,-15.6062940265288,1,1,0,0,0,0.752883929695912,1,3
0.769608,89.03591,-9.680022,41,-15.5595447669336,1,1,0,0,0,0.396343100841046,1,3
0.7849673,88.96199,-10.1044,40,-15.4541410167762,1,1,0,0,0,0.658923077983429,1,3
0.7995543,88.95125,-10.53202,38,-15.3986529826585,1,1,0,0,0,0.66387670869047,1,3
0.8153492,88.9344,-10.70724,38,-15.3064037517408,1,1,0,0,0,0.271976150781613,1,3
0.8311974,88.91627,-10.90909,37,-15.2134610125241,1,1,0,0,0,0.313247315108123,1,3
0.8471712,88.93483,-11.28945,35,-15.1753843514147,1,1,0,0,0,0.590396923233695,1,3
0.8642242,88.96937,-11.56136,32,-15.1315297272995,1,1,0,0,0,0.422224142900025,1,3
0.8818544,89.01966,-11.7923,31,-15.0488741580468,1,1,0,0,0,0.358808283177399,1,3
0.8967964,88.96895,-11.96109,30,-14.9897627780408,1,1,0,0,0,0.262097299279632,1,3
0.9132298,88.90118,-12.24861,26,-14.939529618396,1,1,0,0,0,0.446121293589584,1,3
0.9252125,88.90192,-12.37162,24,-14.9028359964968,1,1,0,0,0,0.19086615579954,1,3
0.9423363,88.86012,-12.65459,21,-14.8403790153943,1,1,0,0,0,0.438858644913955,1,3
0.9583232,88.87406,-12.80109,21,-14.8136577535824,1,1,0,0,0,0.227242737609096,1,3
0.9731134,88.84847,-13.33091,22,-14.7522175432944,1,1,0,0,0,0.821590992834849,1,3
0.9902955,88.7823,-13.96412,22,-14.7204035600291,1,1,0,0,0,0.981186409553322,1,3
1.0047787,88.73985,-14.44631,23,-14.6053808210323,1,1,0,0,0,0.746817106515324,1,3
1.0201803,88.60375,-15.4373,30,-14.4680147236948,2,1,0,0,0,1.53249385833823,1,3
1.0368544,88.59525,-15.9489,36,-14.3634603287826,2,1,0,0,0,0.791076241307631,1,3
1.0517996,88.45816,-17.1292,50,-14.1489111886153,2,1,0,0,0,1.8222488137047,1,3
1.0677147,88.41288,-17.71874,58,-14.0381605148322,2,1,0,0,0,0.909716731636381,1,3
1.0828259,88.28029,-18.84956,72,-13.7830456809136,2,1,0,0,0,1.74234679039502,1,3
1.0997658,88.2112,-20.00961,82,-13.6556853384845,2,1,0,0,0,1.78598499627071,1,3
1.1154455,88.1995,-20.58014,86,-13.4117567878292,2,1,0,0,0,0.878257720946278,1,3
1.1314099,88.10871,-21.69128,89,-13.1617188883513,2,1,0,0,0,1.70869674627686,1,3
1.1475027,88.09225,-22.30123,89,-13.0387628074188,2,1,0,0,0,0.937798007883487,1,3
1.1633409,88.04386,-23.62116,88,-12.79954526294,2,1,0,0,0,2.02827735511069,1,3
1.18064,88.08957,-24.24475,88,-12.6682535418363,2,1,0,0,0,0.958740336951999,1,3
1.1939323,87.95101,-25.66494,89,-12.3842947121208,2,1,0,0,0,2.18004093762927,1,3
1.2095514,87.89837,-27.04362,94,-12.2500710649476,2,1,0,0,0,2.11505499674597,1,3
1.2257021,87.85116,-27.6311,97,-11.9448653336795,2,1,0,0,0,0.900778380456726,1,3
1.2425893,87.79602,-28.77707,102,-11.648757634135,2,1,0,0,0,1.75600377365365,1,3
1.2574248,87.79679,-29.36739,103,-11.5226486608711,2,1,0,0,0,0.90457275410602,1,3
1.2721934,87.81234,-30.41987,103,-11.2768081325596,2,1,0,0,0,1.61304606357782,1,3
1.2888545,87.81647,-31.30026,96,-11.1501679469847,2,1,0,0,0,1.34936190205157,1,3
1.3044934,87.81541,-31.72876,92,-10.9243414980838,2,1,0,0,0,0.65674825449243,1,3
1.320504,87.8099,-32.1083,89,-10.7354308317966,2,1,0,0,0,0.581672327861256,1,3
