date,L1,R1,X
15.11.21,25.3,25.9,23
16.11.21,23.2,23.8,
17.11.21,22.8,23.8,
18.11.21,22.6,23.5,20.3
21.11.21,27.1,26.7,19.9
24.11.21,23.5,24.2,
25.11.21,23.2,,
30.11.21,22.5,,
1.12.21,22.7,,
2.12.21,22.8,,23
6.12.21,21.8,,17.6
7.12.21,21.5,,18.4
8.12.21,21.6,,18.3
9.12.21,21.6,,18.3
12.12.21,23.8,23.9,18.5
13.12.21,22.8,,18.4
14.12.21,22.5,,18.8
15.12.21,22.5,,19
16.12.21,22.1,,19
19.12.21,21.9,,18
20.12.21,21.7,,17.8
21.12.21,21.3,,18
22.12.21,21.4,,18.3
23.12.21,21.3,,18.7
26.12.21,22.8,,19.2
28.12.21,21.9,,19.1
29.12.21,21.9,,19.3
30.12.21,21.7,,19.2
3.1.22,21.7,,19.6
4.1.22,21.4,,19.6
5.1.22,21.5,,19.9
6.1.22,21.6,,20.1
9.1.22,21.7,,20.6
11.1.22,20.8,,20.1
12.1.22,20.8,,20.4
13.1.22,,,20.1
16.1.22,22.7,,20.6
18.1.22,,,20.3
19.1.22,20.9,,20.2
20.1.22,20.4,,20.3
23.1.22,21.6,,20.9
24.1.22,20.7,,20.6
